Date,Facility,Total Transactions,Transponder Transactions,Percentage of Transponder Transactions,Comments,Location
10/30/2012 12:00:00 AM,BHT,"2,058,354","1,453,375",70.6%,,"1200 Frankfurst Avenue
Baltimore, MD 21226
(39.2400060564831, -76.58915553905152)"
07/31/2012 12:00:00 AM,FMT,"4,106,681","2,781,129",69.41%,,"900 Leland Avenue
Baltimore, MD 21224
(39.2661, -76.61575)"
07/31/2012 12:00:00 AM,FSK,"1,015,814","749,688",73.8%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
08/31/2012 12:00:00 AM,FSK,"1,104,125","832,071",75.36%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
08/31/2012 12:00:00 AM,HMB,"461,001","275,968",59.86%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
08/31/2012 12:00:00 AM,ICC,"1,423,802",,,"Transponder Data not yet available.  Previously reported transactions of 1,326,547 was updated in September to 1,423,802 ","16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
08/31/2012 12:00:00 AM,JFK,"1,446,594","905,288",62.58%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
08/31/2012 12:00:00 AM,HWN,"326,955","155,387",47.53%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
08/31/2012 12:00:00 AM,BHT,"1,849,657","1,218,709",65.89%,,"1200 Frankfurst Avenue
Baltimore, MD 21226
(39.240612, -76.587157)"
10/30/2012 12:00:00 AM,HMB,"413,718","372,965",90.15%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
10/30/2012 12:00:00 AM,JFK,"1,119,693","737,676",65.88%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
10/30/2012 12:00:00 AM,ICC,"1,337,834",,,Transponder Data not yet available ,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
10/30/2012 12:00:00 AM,FMT,"3,590,369","2,574,313",71.7%,,"3990 Leland Avenue
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2012 12:00:00 AM,FMT,"4,295,531","2,989,977",69.61%,,"3990 Leland Avenue
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2012 12:00:00 AM,BAY,"1,329,172","797,017",59.96%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
07/31/2012 12:00:00 AM,BHT,"1,852,460","1,201,863",64.88%,,"1200 Frankfurst Avenue
Baltimore, MD 21226
(39.240612, -76.587157)"
07/31/2012 12:00:00 AM,HMB,"437,952","224,534",51.27%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
07/31/2012 12:00:00 AM,JFK,"1,428,001","866,641",60.69%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
07/31/2012 12:00:00 AM,ICC,"1,379,962",,,Transponder Data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
07/31/2012 12:00:00 AM,BAY,"1,309,632","758,737",57.94%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
07/31/2012 12:00:00 AM,HWN,"312,519","142,914",45.73%,,"9665 Orland Park Road
Newberg, MD 20664
(38.364741, -76.9761)"
10/30/2012 12:00:00 AM,FSK,"904,081","694,016",76.76%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
10/30/2012 12:00:00 AM,BAY,"1,016,962","668,287",65.71%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
